company_number,company_name,address_line_1,address_line_2,locality,postal_code,country,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,date_of_creation,age_years,primary_sic,sector,esos_score
08584305,VICKY EASTON CONSULTING LIMITED,58 Kelham Hall Drive,Wheatley,Oxford,OX33 1YB,,micro-entity,2023-06-30,2025-03-31,True,True,82990,False,2013-06-25,12.525667351129364,82990,Buildings,-2
08800582,RADHA KRISHNA AGS LTD,Rex House,354 Ballards Lane,London,N12 0DD,England,micro-entity,2024-12-31,2026-09-30,True,False,41202;43999;69202;70229,False,2013-12-03,12.084873374401095,41202,Buildings,-2
09734017,DEAN NELSON FABRICATIONS LTD,28 Hothfield Drive,,Appleby-In-Westmorland,CA16 6HJ,England,micro-entity,2024-08-31,2026-05-31,True,False,25110,False,2015-08-14,10.390143737166325,25110,Industrial,-2
09844568,GET SOFTWARE LTD,10 Brownrigg Crescent,,Bracknell,RG12 2PZ,United Kingdom,micro-entity,2017-02-28,2018-11-30,True,True,62012,False,2015-10-27,10.18754277891855,62012,Other,-2
10651001,AGIE&KATIE LTD,12 St. Johns Square,,Stoke-On-Trent,ST6 3AJ,England,micro-entity,2024-03-31,2025-12-31,True,True,56101,False,2017-03-03,8.837782340862423,56101,Other,-2
10726507,A C TEK-SOL LTD,Carreg Y Bedmon,Llanfairynghornwy,Holyhead,LL65 4LY,Wales,micro-entity,2022-04-30,2024-01-31,True,True,45200,False,2017-04-18,8.711841204654347,45200,Other,-2
10768167,EURO ASIA BUSINESS LTD,"C/O Shafi & Co Accountants, Nida House, Ground Floor","60 Sutton Street, Shadwell",London,E1 0AX,United Kingdom,micro-entity,2023-05-31,2025-02-28,True,True,46410;46420;82990,False,2017-05-12,8.646132785763175,46410,Other,-2
11374585,PAINTING CLASSIC CARS LIMITED,Unit 2 Birch Close,,Eastbourne,BN23 6PE,England,micro-entity,2024-05-31,2026-02-28,True,False,45200,False,2018-05-22,7.619438740588638,45200,Other,-2
11549170,DEREK MURRAY FORMWORK LTD,Flat 6 36 Sefton Park Road,,Bristol,BS7 9AJ,England,micro-entity,2022-09-30,2024-06-30,True,True,42990,False,2018-09-03,7.3347022587268995,42990,Buildings,-2
11631290,S.D FAIR SHIPPING LTD,17 Rothesay Terrace,,Northampton,NN2 7ER,United Kingdom,micro-entity,2022-10-31,2024-07-31,True,True,51210,False,2018-10-19,7.208761122518823,51210,Transport,-2
11824337,AU FUSION LTD,Daisyfield Business Centre Appleby Street,Unit 309,Blackburn,BB1 3BL,England,micro-entity,2023-02-28,2024-11-30,True,True,46190,False,2019-02-13,6.888432580424367,46190,Other,-2
11909774,THE TETTENHALL FISH BAR LTD,9 High Street,Tettenhall,Wolverhampton,WV6 8QS,England,micro-entity,2022-03-31,2023-12-31,True,True,56103,False,2019-03-27,6.7734428473648185,56103,Other,-2
12439353,SAIGON BAR AND GRILL LTD,203 Petts Wood Road,Petts Wood,Orpington,BR5 1LA,England,micro-entity,2023-02-28,2024-11-30,True,True,56101,False,2020-02-03,5.916495550992471,56101,Other,-2
NI626414,MJL WORKFORCE ENGAGEMENT SERVICES LTD,70 Cavanoneill Road,Pomeroy,Dungannon,BT70 2SH,Northern Ireland,micro-entity,2024-08-31,2026-05-31,True,False,43999,False,2014-08-29,11.34839151266256,43999,Buildings,-2
NI668027,CAUSEWAY FITNESS LIMITED,8 Riverside Park North,,Coleraine,BT51 3GE,Northern Ireland,micro-entity,2022-02-28,2023-11-30,True,True,93130,False,2020-02-27,5.8507871321013,93130,Other,-2
SC468415,GALLERY ART MARKETING LTD,1 Woodside Ind. Est. Main Street,Glenluce,Newton Stewart,DG8 0PL,,micro-entity,2022-01-31,2023-10-31,True,True,18129,False,2014-01-27,11.93429158110883,18129,Industrial,-2
SC471241,BIBBLE BAR SILVERBURN LIMITED,Bibble Milkshake,Unit 42/1 Hardengreen Business Park,Eskbank,EH22 3NU,Scotland,micro-entity,2018-02-28,2019-11-30,True,True,56103,False,2014-02-28,11.846680355920602,56103,Other,-2
SC532958,CMS JOINERY LTD,50 George Street,,Dunoon,PA23 8BW,Scotland,micro-entity,2021-04-30,2023-04-30,True,True,43320,False,2016-04-18,9.711156741957563,43320,Buildings,-2
SC535394,DI & EV LTD,37 Broad Street,,Peterhead,AB42 1JB,United Kingdom,micro-entity,2021-05-31,2023-02-28,True,True,96090,False,2016-05-13,9.64271047227926,96090,Other,-2
SC571479,COPELAND JOINERY LTD,22 Highfield Place,,Irvine,KA11 1BW,Scotland,micro-entity,2021-07-31,2023-04-30,True,True,43320,False,2017-07-18,8.462696783025326,43320,Buildings,-2
SC628849,ABNA CONSULTANCY LIMITED,2 Taylor Place,Flat 24/8,Glasgow,G4 0PA,Scotland,dormant,2022-04-30,2024-01-31,True,True,70229,False,2019-04-29,6.683093771389459,70229,Other,-2
SC644794,TINY HOMES SCOTLAND LTD,20 Lora View,North Connel,Oban,PA37 1RR,Scotland,micro-entity,2021-10-31,2023-07-31,True,True,41202,False,2019-10-18,6.2121834360027375,41202,Buildings,-2
