company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name
15331879,MEDITERRANEAN URUCI CONSTRUCTION LTD,2569,,4500.0,31 Decembe,EMPLOYEE_TEST,,
06512050,Birchwood Motor Group Limited,160000,100357000.0,1460000.0,31 Decembe,EMPLOYEE_TEST,,
06513466,Azur Auto Limited,43000,30819000.0,3985000.0,31 Decembe,EMPLOYEE_TEST,,
06510589,Birchwood Auto Limited,17000,,295000.0,31 Decembe,EMPLOYEE_TEST,,
12359760,RICKMANSWORTH GLASS LIMITED,3070,,2125.0,31 Decembe,EMPLOYEE_TEST,,
09962909,Rochmills (Holdings) Ltd,328,12839917.0,44059285.0,31 Decembe,EMPLOYEE_TEST,,
SC188333,WEST COAST CAPITAL PROPERTIES (MARATHON HOUSE) LIMITED,4000,,2588000.0,30/03/2025,EMPLOYEE_TEST,,
08140845,Provenance Brands Limited,312,22153073.0,4118393.0,30 June 20,EMPLOYEE_TEST,,
01555887,Solomon Commercials Limited,408,76841676.0,2661599.0,30 April 2,EMPLOYEE_TEST,,
13102444,AVANT GARDE TATTOO LTD,6849,,6849.0,30 April 2,EMPLOYEE_TEST,,
04542522,Ksb Recruitment Consultants Limited,360,,21771.0,29 June 20,EMPLOYEE_TEST,,
15531618,KLM MORTGAGE SOLUTIONS LTD,3174,,7626.0,28 Februar,EMPLOYEE_TEST,,
10314299,TIGER TIM PRODUCTIONS LIMITED,5495,,5855.0,28 Februar,EMPLOYEE_TEST,,
05368398,UINCAP INTERNATIONAL UNION OF CAPOEIRA (UINCAP),56000,,,28 FEBRUAR,EMPLOYEE_TEST,,
10664067,New Concept Security Ltd,320,,397957.0,2025-10-31,EMPLOYEE_TEST,,
07640504,HERD HIRE LTD,34,50553812.0,75481311.0,2025-10-31,FINANCIAL_TEST,,
02367892,ANGLIA RUSKIN ENTERPRISE LTD,665,5074274.0,11040232.0,2025-07-31,EMPLOYEE_TEST,,
00533277,McBraida Plc,152000,31789000.0,21717000.0,2025-06-30,EMPLOYEE_TEST,,
03818424,WATERSTONS LIMITED,267,,353232.0,2025-06-30,EMPLOYEE_TEST,,
03093787,GIANT GROUP LIMITED (FORMERLY GIANT GROUP PLC),7811,,119888.0,2025-05-31,EMPLOYEE_TEST,,
14702578,MCGROVE DEVELOPMENTS TOPCO LIMITED,2024,,400676755.0,2025-04-30,EMPLOYEE_TEST,,
09061357,MCGROVE DEVELOPMENTS LIMITED,2024,,,2025-04-30,EMPLOYEE_TEST,,
06817611,2 AM Management Company Limited,356,24118545.0,3433726.0,2025-04-06,EMPLOYEE_TEST,,
07384595,THE ISLINGTON GP GROUP LIMITED,289,,70951.0,2025-04-05,EMPLOYEE_TEST,,
06655187,AVERY HOMES (NELSON) LIMITED,1699,81466698.0,12911650.0,2025-03-31,EMPLOYEE_TEST,,
06281747,Enimed Limited,290,50634795.0,20789987.0,2025-03-31,EMPLOYEE_TEST,,
06778302,PAN-ASIA COMMUNITY HOUSING,2024,,,2025-03-31,EMPLOYEE_TEST,,
06293176,HBG LIMITED,299,,1154704.0,2025-03-31,EMPLOYEE_TEST,,
06655208,WILLOWBROOK HEALTHCARE LIMITED,3471,188812421.0,1325156.0,2025-03-31,EMPLOYEE_TEST,,
06646129,SR Facilities Group Ltd,320,,39868.0,2025-03-31,EMPLOYEE_TEST,,
06504617,Newburn (LSA Properties) Ltd,37471,,290633.0,2025-03-31,EMPLOYEE_TEST,,
06052757,Sefton New Directions Limited,376,11460364.0,1495148.0,2025-03-31,EMPLOYEE_TEST,,
15986160,WORKCHAIN HOLDINGS LTD,406,,2138970.0,2025-03-31,EMPLOYEE_TEST,,
05883787,Pride Management Service Limited,259,,426291.0,2025-03-31,EMPLOYEE_TEST,,
07630156,Optalis Limited,805,57604132.0,66108.0,2025-03-31,EMPLOYEE_TEST,,
08023909,Trinity Homecare Group Ltd,4000,,-4943000.0,2025-03-31,EMPLOYEE_TEST,,
07081393,Trinity Care at Home Ltd,259000,,1490000.0,2025-03-31,EMPLOYEE_TEST,,
07174215,HR FACILITIES LTD,290,78441549.0,482335.0,2025-03-31,EMPLOYEE_TEST,,
07034946,Malling Health (UK) Limited,300,30077243.0,833205.0,2025-03-31,EMPLOYEE_TEST,,
07576441,City Calling Limited,14000,,-83000.0,2025-03-31,EMPLOYEE_TEST,,
03087327,Atlantic Cleaning Services Limited,314,,394267.0,2025-03-31,EMPLOYEE_TEST,,
03041366,BCH CARE LIMITED,373,16070100.0,786249.0,2025-03-31,EMPLOYEE_TEST,,
SC177939,ROSS-SHIRE ENGINEERING LIMITED,1127,,81041000.0,2025-03-31,EMPLOYEE_TEST,,
SC380772,TANZ LIMITED,666,,842261.0,2025-03-31,EMPLOYEE_TEST,,
03573047,Corinium Care Limited,106000,4584000.0,77000.0,2025-03-31,EMPLOYEE_TEST,,
03534122,PRE-CONSTRUCT ARCHAEOLOGY LIMITED,255,15086503.0,222843.0,2025-03-31,EMPLOYEE_TEST,,
01201823,ENDERSHAM LIMITED,351,,412756.0,2025-03-31,EMPLOYEE_TEST,,
00215444,BOYS & BODEN LIMITED,269,46409712.0,29838423.0,2025-03-31,EMPLOYEE_TEST,,
