company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
07576441,City Calling Limited,14000,,-83000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"The Dock, Station Road, Kings Langley, WD4 8LZ",82110
07439914,THINK DRINKS LIMITED,13000,,872000.0,,EMPLOYEE_TEST,,,active,england-wales,"65 Whiteladies Road, Bristol, BS8 2LY",11070;46341;46342
06131771,BROOMFIELD BOOKS LIMITED,9173,,13379.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"36 De La Warr Road, East Grinstead, West Sussex, RH19 3BP",47910;58110
08380483,Speira UK Limited,9000,1531000.0,1960000.0,,EMPLOYEE_TEST,,,active,england-wales,"90-92 High Street, Evesham, WR11 4EU",82990
03093787,GIANT GROUP LIMITED (FORMERLY GIANT GROUP PLC),7811,,119888.0,2025-05-31,EMPLOYEE_TEST,,,active,england-wales,"Fourth Floor, 90 High Holborn, London, WC1V 6LJ",70100;74990
00056685,Exmouth Marina Ltd,7000,,6459000.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"Greendale Business Park, Woodbury Salterton, Exeter, EX5 1EW",50100
13102444,AVANT GARDE TATTOO LTD,6849,,6849.0,30 April 2,EMPLOYEE_TEST,,,active,england-wales,"7 York Street, Cheltenham, GL52 2JT",96020
10314299,TIGER TIM PRODUCTIONS LIMITED,5495,,5855.0,28 Februar,EMPLOYEE_TEST,,,active,england-wales,"14 Cavell Street, London, E1 2HP",68100;96090;98000
06854380,GMT Spas International Limited,5005,,97325.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 1a, Borders Industrial Estate River Lane, Saltney, CH4 8RJ",32990
08023909,Trinity Homecare Group Ltd,4000,,-4943000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"1 - 15 Central Road, Worcester Park, KT4 8EG",88100
SC188333,WEST COAST CAPITAL PROPERTIES (MARATHON HOUSE) LIMITED,4000,,2588000.0,30/03/2025,EMPLOYEE_TEST,,,active,scotland,"Marathon House,Olympic Business, Park,Drybridge Road,, Dundonald, KA2 9AE",82990
06655208,WILLOWBROOK HEALTHCARE LIMITED,3471,188812421.0,1325156.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"3 Cygnet Drive, Swan Valley, Northampton, NN4 9BS",70100
15740044,EDGEHILL LEICESTER LTD,3324,,250365.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"13 Rowsley Avenue, Leicester, LE5 5BS",68209
15531618,KLM MORTGAGE SOLUTIONS LTD,3174,,7626.0,28 Februar,EMPLOYEE_TEST,,,active,england-wales,"48 Honister Heights, Purley, CR8 1EU",64999
12359760,RICKMANSWORTH GLASS LIMITED,3070,,2125.0,31 Decembe,EMPLOYEE_TEST,,,active,england-wales,"C/O Mg Tax,, 166 College Road, Harrow, HA1 1BH",43342
12123134,Bishopsgate Contracting Services Limited,3000,89174000.0,120000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"The Dock, Station Road, Kings Langley, WD4 8LZ",43999;82990
12405502,Trinity Homecare Holdings Limited,3000,140000.0,24494000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"12-18 Grosvenor Gardens, 5th Floor, London, SW1W 0DH",64209
13290876,CENTURION CONSULTANTS LIMITED,2890,,2890.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",39000;43999;74901
04601274,eXPD8 Limited,2781,34783428.0,331866.0,2025-03-22,EMPLOYEE_TEST,,,active,england-wales,"Spectrum Building, Bond Street, Bristol, BS1 3LG",74909
02021497,50 FASSETT ROAD RESIDENTS ASSOCIATION LIMITED,2607,,2468.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"44 Fassett Road, Kingston Upon Thames, KT1 2TF",68209
