company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route
06522213,Outform Group EMEA Ltd,308,,8400391.0,,EMPLOYEE_TEST
08255582,GREENCLOSE HOLDINGS LIMITED,352,,34609447.0,,EMPLOYEE_TEST
09126080,NDH Care Ltd,377,,2904751.0,,EMPLOYEE_TEST
09209152,BV PPT Holdings Ltd.,280,,5250001.0,,EMPLOYEE_TEST
09657831,CGNM UK Ltd.,9,272066000.0,435071000.0,,FINANCIAL_TEST
12337996,BCG GROUP LTD,560,,1629875.0,,EMPLOYEE_TEST
12600083,THE COVENTRY GROUP TOPCO LIMITED,255,,6343000.0,,EMPLOYEE_TEST
14314684,Caterleisure Group Limited,300,,5800002.0,,EMPLOYEE_TEST
NI027233,GALGORM MANOR HOTEL LIMITED,649,37728900.0,50186015.0,,EMPLOYEE_TEST
NI039068,Direct Medics Ltd,704,,449406.0,,EMPLOYEE_TEST
SC386352,T P Niven Limited,301,33688534.0,8495407.0,,EMPLOYEE_TEST
