company_number,company_name,company_status,company_type,date_of_creation,address_line_1,address_line_2,locality,postal_code,country,sic_codes,name_norm,outward_postcode,match_key,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,parent_name,parent_postcode,parent_match_key,parent_in_esos,covered_by_group,age_years,primary_sic,sector,esos_score,accounts_type_lower,is_uk
10701504,FABULOUS PROPERTY MANAGEMENT LTD,active,ltd,2017-03-31,171 Culverley Road,,London,SE6 2JZ,United Kingdom,"['74100', '98000']",FABULOUSPROPERTYMANAGEMENT,SE6,FABULOUSPROPERTYMANAGEMENT|SE6,total-exemption-full,2018-03-31,2019-12-31,True,True,74100;98000,True,,,,False,False,8.761122518822724,74100,Other,4,total-exemption-full,True
10938999,TREW HOLDINGS LTD,active,ltd,2017-08-30,4 Low Moor Road,,Lincoln,LN6 3JY,United Kingdom,['68100'],TREW,LN6,TREW|LN6,,,2019-05-30,False,True,68100,True,,,,False,False,8.344969199178644,68100,Buildings,4,,True
11055610,DIRECT TO SOURCE LTD,active,ltd,2017-11-09,Hollymount Barn,Glewstone,Ross-On-Wye,HR9 6AN,United Kingdom,['46180'],DIRECTTOSOURCE,HR9,DIRECTTOSOURCE|HR9,total-exemption-full,2024-11-30,2026-08-31,True,False,46180,False,,,,False,False,8.150581793292266,46180,Other,4,total-exemption-full,True
11804301,HHS ELECTRICAL LIMITED,active,ltd,2019-02-04,102 Newthorpe Common,Newthorpe,Nottingham,NG16 2EH,England,['43210'],HHSELECTRICAL,NG16,HHSELECTRICAL|NG16,total-exemption-full,2025-03-31,2026-12-31,True,False,43210,False,,,,False,False,6.913073237508556,43210,Buildings,4,total-exemption-full,True
12099832,ADDERSTONE (212) LIMITED,active,ltd,2019-07-12,"Nelson House The Fleming, Burdon Terrace",Jesmond,Newcastle Upon Tyne,NE2 3AE,England,"['68100', '68209']",ADDERSTONE212,NE2,ADDERSTONE212|NE2,total-exemption-full,2024-03-31,2025-12-31,True,True,68100;68209,True,,,,False,False,6.480492813141684,68100,Buildings,4,total-exemption-full,True
12387679,TOP SHEET CLADDING LIMITED,active,ltd,2020-01-06,Equitable House 55,Pellon Lane,Halifax,HX1 5SP,United Kingdom,"['43330', '43390']",TOPSHEETCLADDING,HX1,TOPSHEETCLADDING|HX1,total-exemption-full,2022-01-31,2024-01-31,True,True,43330;43390,True,,,,False,False,5.993155373032169,43330,Buildings,4,total-exemption-full,True
12810884,ADVANCED TREE SOLUTIONS LIMITED,active,ltd,2020-08-13,Suite 21 10 Churchill Square,Kings Hill,West Malling,ME19 4YU,United Kingdom,['81300'],ADVANCEDTREESOLUTIONS,ME19,ADVANCEDTREESOLUTIONS|ME19,total-exemption-full,2024-08-31,2026-05-31,True,False,81300,False,,,,False,False,5.390828199863107,81300,Buildings,4,total-exemption-full,True
NI620386,BRANNOCK TRADING LIMITED,active,ltd,2013-09-12,6 Brannock Meadows,Poyntzpass,Newry,BT35 6UD,Northern Ireland,"['43120', '46900', '77320']",BRANNOCKTRADING,BT35,BRANNOCKTRADING|BT35,unaudited-abridged,2019-09-30,2021-06-30,True,True,43120;46900;77320,True,,,,False,False,12.309377138945928,43120,Buildings,4,unaudited-abridged,True
SC140947,REIACH AND HALL LIMITED,active,ltd,1992-10-29,8 Darnaway Street,,Edinburgh,EH3 6BG,Scotland,['71111'],REIACHANDHALL,EH3,REIACHANDHALL|EH3,total-exemption-full,2025-07-31,2027-04-30,True,False,71111,False,,,,False,False,33.18001368925393,71111,Other,4,total-exemption-full,True
SC197917,NPL PH CLEARING COMPANY LTD,active,ltd,1999-07-08,183 St. Vincent Street,First Floor,Glasgow,G2 5QD,Scotland,['68100'],NPLPHCLEARINGCOMPANY,G2,NPLPHCLEARINGCOMPANY|G2,small,2024-03-31,2026-03-31,True,False,68100,False,,,,False,False,26.491444216290212,68100,Buildings,4,small,True
SC593054,PEPPERSTAWN LTD,active,ltd,2018-04-03,268 Birkhall Parade,,Aberdeen,AB16 5RA,Scotland,"['84120', '87200']",PEPPERSTAWN,AB16,PEPPERSTAWN|AB16,full,2021-04-30,2023-01-31,True,True,84120;87200,True,,,,False,False,7.753593429158111,84120,Other,4,full,True
07062982,AAROGYA LIMITED,active,ltd,2009-10-31,"6th Floor, 2 London Wall Place",,London,EC2Y 5AU,England,['47730'],AAROGYA,EC2Y,AAROGYA|EC2Y,audit-exemption-subsidiary,2024-10-31,2026-07-31,True,False,47730,False,,,,False,False,16.175222450376456,47730,Other,3,audit-exemption-subsidiary,True
07825473,THOR BUILDING SERVICES LIMITED,active,ltd,2011-10-27,6-8 Freeman Street,,Grimsby,DN32 7AA,England,['41201'],THORBUILDING,DN32,THORBUILDING|DN32,total-exemption-full,2021-11-30,2024-02-29,True,True,41201,False,,,,False,False,14.18754277891855,41201,Buildings,3,total-exemption-full,True
09068458,WHISKYINVESTDIRECT LTD,active,ltd,2014-06-03,"7th Floor, 3 Shortlands Shortlands",,London,W6 8DA,England,['62090'],WHISKYINVESTDIRECT,W6,WHISKYINVESTDIRECT|W6,small,2024-10-31,2026-07-31,True,False,62090,False,,,,False,False,11.586584531143053,62090,Other,3,small,True
11759722,JURBAN LTD,active,ltd,2019-01-10,46 Morris Road,Ribbleton,Preston,PR2 6BQ,United Kingdom,"['47791', '47799', '95110', '96020']",JURBAN,PR2,JURBAN|PR2,total-exemption-full,2023-01-31,2024-10-31,True,True,47791;47799;95110;96020,True,,,,False,False,6.981519507186858,47791,Other,3,total-exemption-full,True
12469687,CLEAN & CHEAP SOLUTIONS LIMITED,active,ltd,2020-02-18,89 Sixth Avenue,,London,W10 4HH,England,"['53201', '56103', '81222']",CLEANANDCHEAPSOLUTIONS,W10,CLEANANDCHEAPSOLUTIONS|W10,,,2021-11-18,False,True,53201;56103;81222,True,,,,False,False,5.87542778918549,53201,Transport,3,,True
12825526,SANCTUARY REVIEWS & STORAGE LTD,active,ltd,2020-08-19,41a Lawton Road,,Alsager,ST7 2AA,United Kingdom,['96090'],SANCTUARYREVIEWSANDSTORAGE,ST7,SANCTUARYREVIEWSANDSTORAGE|ST7,total-exemption-full,2024-08-31,2026-05-31,True,False,96090,False,,,,False,False,5.374401095140315,96090,Other,3,total-exemption-full,True
SC357455,SPECIALIZED TRAINING LTD,active,ltd,2009-03-30,3 Queen Street,,Edinburgh,EH2 1JE,Scotland,['82990'],SPECIALIZEDTRAINING,EH2,SPECIALIZEDTRAINING|EH2,total-exemption-full,2020-03-31,2021-12-31,True,True,82990,False,,,,False,False,16.763860369609855,82990,Buildings,3,total-exemption-full,True
SC482956,M&M PARCEL LIMITED,active,ltd,2014-07-28,105 Skylark Wynd,,Motherwell,ML1 1AP,Scotland,['82990'],MANDMPARCEL,ML1,MANDMPARCEL|ML1,total-exemption-full,2019-10-31,2021-07-31,True,True,82990,False,,,,False,False,11.436002737850787,82990,Buildings,3,total-exemption-full,True
SC570633,NU-INNOVATIONS CONSTRUCTION LTD,active,ltd,2017-07-06,Unit 22 26 Dumbryden Road,Dumbryden Industrial Estate,Edinburgh,EH14 2AB,Scotland,['43320'],NUINNOVATIONSCONSTRUCTION,EH14,NUINNOVATIONSCONSTRUCTION|EH14,total-exemption-full,2020-07-31,2022-04-30,True,True,43320,False,,,,False,False,8.49555099247091,43320,Buildings,3,total-exemption-full,True
SC637064,SUPREME INNOVATIVE SOLUTIONS LIMITED,active,ltd,2019-07-25,24 Alness Crescent Glasgow,Alness Crescent,Glasgow,G52 1PJ,Scotland,"['43210', '43220', '43310', '43320']",SUPREMEINNOVATIVESOLUTIONS,G52,SUPREMEINNOVATIVESOLUTIONS|G52,,,2021-04-25,False,True,43210;43220;43310;43320,True,,,,False,False,6.444900752908967,43210,Buildings,3,,True
SC640706,PURE 'N' SIMPLE (SCOTLAND) LIMITED,active,ltd,2019-09-04,3 Heathland Park,Kinellar,Aberdeen,AB21 0SG,Scotland,"['81221', '81299']",PURENSIMPLESCOTLAND,AB21,PURENSIMPLESCOTLAND|AB21,,,2021-06-04,False,True,81221;81299,True,,,,False,False,6.33264887063655,81221,Buildings,3,,True
SC643113,J PHILLIPS SERVICES LTD,active,ltd,2019-09-30,31 Whinhill Court,,Greenock,PA15 4JD,Scotland,"['33170', '43341', '43999']",JPHILLIPS,PA15,JPHILLIPS|PA15,,,2021-06-30,False,True,33170;43341;43999,True,,,,False,False,6.261464750171116,33170,Industrial,3,,True
SC658348,DCI WHOLESALE LIMITED,active,ltd,2020-03-26,5 Tarbet Street,,Gourock,PA19 1UF,Scotland,['46380'],DCIWHOLESALE,PA19,DCIWHOLESALE|PA19,total-exemption-full,2025-03-31,2026-12-31,True,False,46380,False,,,,False,False,5.774127310061601,46380,Other,3,total-exemption-full,True
00700529,WINEMAKERS CHOICE LIMITED,active,ltd,1961-08-10,Sabmiller House,Church Street West,Woking,GU21 6HS,United Kingdom,['99999'],WINEMAKERSCHOICE,GU21,WINEMAKERSCHOICE|GU21,total-exemption-full,2012-03-31,2013-12-31,True,True,99999,False,,,,False,False,64.39972621492129,99999,Other,2,total-exemption-full,True
08547427,BADDESLEY ACCIDENT & HIRE SERVICES LTD,active,ltd,2013-05-29,12 Elsperth Road,,Wembley,HA0 2BW,England,['66190'],BADDESLEYACCIDENTANDHIRE,HA0,BADDESLEYACCIDENTANDHIRE|HA0,total-exemption-full,2023-05-31,2025-02-28,True,True,66190,False,,,,False,False,12.59958932238193,66190,Other,2,total-exemption-full,True
10236844,C&E AMERY LIMITED,active,ltd,2016-06-17,77 Hampton Crescent East,Cyncoed,Cardiff,CF23 6RG,Wales,['96090'],CANDEAMERY,CF23,CANDEAMERY|CF23,total-exemption-full,2023-07-31,2025-04-30,True,True,96090,False,,,,False,False,9.546885694729637,96090,Other,2,total-exemption-full,True
10534377,BOLTON SHAWARMA LIMITED,active,ltd,2016-12-21,136 Debrby Street,,Bolton,BL3 6JR,United Kingdom,['56103'],BOLTONSHAWARMA,BL3,BOLTONSHAWARMA|BL3,total-exemption-full,2023-12-31,2025-09-30,True,True,56103,False,,,,False,False,9.034907597535934,56103,Other,2,total-exemption-full,True
11344781,SF TRADING ONLINE LTD,active,ltd,2018-05-03,Unit 7 Sherwood Network Centre,Sherwood Energy Village,Ollerton,NG22 9FD,England,"['47910', '52103']",SFTRADINGONLINE,NG22,SFTRADINGONLINE|NG22,unaudited-abridged,2022-05-31,2024-02-29,True,True,47910;52103,True,,,,False,False,7.671457905544147,47910,Other,2,unaudited-abridged,True
11466848,GTECH SELECTION LTD,active,ltd,2018-07-16,71 High Storrs Drive,,Sheffield,S11 7LN,England,"['78109', '78200']",GTECHSELECTION,S11,GTECHSELECTION|S11,unaudited-abridged,2023-07-31,2025-04-30,True,True,78109;78200,True,,,,False,False,7.468856947296373,78109,Other,2,unaudited-abridged,True
12326630,CONTINENTAL BUSINESS AND SERVICES LTD,active,ltd,2019-11-21,30 Lonsdale Road,,Nottingham,NG7 3DU,England,['81299'],CONTINENTALBUSINESSAND,NG7,CONTINENTALBUSINESSAND|NG7,total-exemption-full,2020-11-30,2022-08-31,True,True,81299,False,,,,False,False,6.119096509240246,81299,Buildings,2,total-exemption-full,True
